canonical_description,short_text,lines,purchase_orders,spend,spend_share,cumulative_spend_share,abc_class
ib ross broiler finisher feed,IB Ross Broiler Finisher Feed,7864,7826,2484004973.38,0.1035138931660012,0.1035138931660012,A
ib ross broiler starter feed,IB Ross Broiler Starter Feed,6965,6954,1832625208.5,0.07636948076954161,0.17988337393554282,A
soya bean mp,Soya Bean - (MP),2770,2770,1296246620.39,0.054017417685465294,0.23390079162100813,A
b4 ib ross feed,B4 IB Ross Feed,35,35,1058332000.0,0.04410299768164,0.27800378930264813,A
soya bean a,Soya Bean - (A),2130,2130,1041177465.28,0.04338813088654567,0.3213919201891938,A
maize,Maize,2328,2328,929928411.41,0.03875214070112819,0.360144060890322,A
ib ross broiler pre starter feed,IB Ross Broiler Pre-Starter Feed,5280,5270,881006742.0,0.03671346826887518,0.3968575291591972,A
pl 3,PL-3,51,51,838564216.05,0.034944795845121765,0.431802325004319,A
b1 ib ross feed,B1 IB Ross Feed,58,58,825317512.4,0.034392776875303864,0.4661951018796228,A
pl 4,PL-4,44,44,820847626.0,0.034206506981228665,0.5004016088608515,A
feed p1,Feed P1,56,56,793132145.95,0.0330515426105107,0.5334531514713622,A
pl 5,PL-5,43,43,665772945.15,0.027744207542103123,0.5611973590134653,A
b3 ib ross feed,B3 IB Ross Feed,40,40,647584239.15,0.026986244579110384,0.5881836035925757,A
b2 ib ross feed,B2 IB Ross Feed,45,45,638922804.4,0.026625303743248927,0.6148089073358246,A
gp 5 feed,GP-5 Feed,30,30,548267645.75,0.02284750599002059,0.6376564133258452,A
soya bean,Soya Bean,2672,2672,542905344.06,0.022624047208652995,0.6602804605344982,A
grand parents layer,Grand Parents Layer,30,30,531899454.55,0.022165407840719388,0.6824458683752176,A
feed ps,Feed PS,23,23,486108038.55,0.02025717988041297,0.7027030482556306,A
khandha,Khandha,1326,1326,477715289.41,0.01990743575865911,0.7226104840142897,A
grand parents grower,Grand Parents Grower,37,37,423651274.2,0.017654470585663506,0.7402649545999532,A
gp 4 feed,GP-4 Feed,20,20,419359019.25,0.017475602980688076,0.7577405575806413,A
c2,C2,18,18,369002000.0,0.015377116396858946,0.7731176739775002,A
soya crude oil purchase,Soya Crude Oil - Purchase,57,56,347114889.25,0.014465032859117436,0.7875827068366177,A
grand parents starter,Grand Parents Starter,15,15,313953033.95,0.013083106178817888,0.8006658130154356,B
c1,C1,18,18,278983762.1,0.011625860517409948,0.8122916735328456,B
rice bran boiled,Rice Bran Boiled,3838,3838,247969115.24,0.010333412685762164,0.8226250862186077,B
ibg common vitamin,IBG Common Vitamin,3,3,243225000.0,0.010135715079121569,0.8327608012977293,B
pl 6,PL-6,45,45,227300012.05,0.009472086173788466,0.8422328874715178,B
imp degum soya oil,IMP Degum Soya Oil,9,8,191939241.65,0.007998525915786057,0.8502314133873039,B
grand parents starter male,Grand Parents Starter Male,10,10,191392620.75,0.007975747033275242,0.8582071604205791,B
rice bran crude oil,Rice Bran Crude Oil,71,71,158460510.43,0.006603394326284929,0.8648105547468641,B
rice bran raw,Rice Bran Raw,2674,2674,147438214.48,0.006144071266291277,0.8709546260131553,B
maize gluten,Maize Gluten,132,132,131700907.05,0.0054882634166745735,0.8764428894298298,B
nakki,Nakki,609,609,126477267.96,0.005270583007619576,0.8817134724374495,B
grand parents mail feed gp 6 feed,Grand Parents Mail Feed (GP-6 Feed),10,10,95577642.05,0.003982928349277701,0.8856964007867272,B
soya bean bh,Soya Bean - (BH),200,200,87431224.63,0.0036434494063864987,0.8893398501931137,B
l1,L1,15,15,85213497.15,0.003551031875867768,0.8928908820689815,B
layer o feed,Layer O Feed,10,10,84862637.0,0.0035364107698424093,0.8964272928388239,B
rice gluten,Rice Gluten,105,105,70058053.06,0.0029194715379345917,0.8993467643767585,B
hsd diesel,HSD (Diesel),40,40,63475658.0,0.0026451688105571533,0.9019919331873157,B
l2,L2,13,13,59060823.5,0.0024611930489640767,0.9044531262362798,B
ground nut cake g n c,Ground nut cake (G.N.C),69,69,57901453.92,0.002412879595436352,0.9068660058317162,B
rice husk new,Rice Husk (New),1417,1417,57325319.65,0.002388870826567865,0.9092548766582841,B
imp rbd palmolein,IMP RBD Palmolein,11,11,56801549.0,0.0023670441637034132,0.9116219208219875,B
gp doc female line female 8,GP DOC Female Line Female - 8,4,2,55350012.300000004,0.0023065554704437222,0.9139284762924311,B
d l methionine,D. L. Methionine,14,14,52197028.0,0.002175163752841734,0.9161036400452729,B
fish meal,Fish Meal,22,22,49841460.8,0.00207700214121084,0.9181806421864838,B
nd ibh killed vaccine 1000 dose,ND+IBH Killed Vaccine (1000 Dose),62,60,46993202.0,0.001958308998366146,0.9201389511848499,B
diesel,Diesel,398,387,41790590.97,0.00174150487433459,0.9218804560591844,B
gustor n rgy,Gustor N'Rgy,4,4,40095300.0,0.0016708584101630304,0.9235513144693475,B
procured milk kg,Procured Milk (Kg.),79,79,38270220.33,0.0015948033684040942,0.9251461178377516,B
mono calsium phosphat mcp,Mono Calsium phosphat (MCP),32,32,31865245.2,0.0013278941156276954,0.9264740119533793,B
ib ross breeder layer feed,IB Ross Breeder Layer Feed,41,23,29643494.05,0.0012353089100233755,0.9277093208634026,B
l3,L3,10,10,29535736.599999998,0.0012308184225699776,0.9289401392859726,B
maida fine flour,Maida (Fine Flour),54,54,29338770.22,0.0012226104048586159,0.9301627496908312,B
civil work,Civil work,2,2,28717635.93,0.0011967263872234531,0.9313594760780547,B
