material_group,lines,purchase_orders,spend,spend_share,cumulative_spend_share
1500,21493,10872,15779099040.76,0.6575493969879076,0.6575493969879076
2003,7772,7772,2967760654.36,0.12367304518705047,0.7812224421749581
2211,5429,5423,1995947170.78,0.08317546237436481,0.8643979045493229
2007,148,146,754316190.33,0.031433997264891836,0.8958319018142147
2353,6526,6526,396208137.27,0.016510855345454652,0.9123427571596693
2209,3,3,243225000.0,0.010135715079121569,0.9224784722387909
1330,14414,13900,186572705.69,0.00777489068317255,0.9302533629219634
2006,2575,2505,141156279.85,0.005882289378922188,0.9361356523008856
SERVICE,1446,793,135347259.71,0.005640214867552391,0.941775867168438
1405,289,229,122183914.13,0.005091669609923058,0.946867536778361
2204,132,125,112839230.83,0.0047022563200333455,0.9515697930983943
ASSETS,406,195,107746809.4,0.004490044036438761,0.956059837134833
2214,37,37,92618388.0,0.003859609792807204,0.9599194469276402
2314,105,105,70058053.06,0.0029194715379345917,0.9628389184655748
FUEL1,40,40,63475658.0,0.0026451688105571533,0.965484087276132
2201,17,17,62548410.2,0.0026065283767672787,0.9680906156528992
1411,1526,888,59894628.37,0.002495939512501558,0.9705865551654008
0088,10,2,55350132.690000005,0.0023065604873570263,0.9728931156527578
1702,160,160,50544449.78,0.0021062972219181783,0.974999412874676
1205,566,272,45276033.28,0.001886750840739669,0.9768861637154156
0300,496,248,41800347.52,0.001741911451006212,0.9786280751664218
1310,58,29,37760998.64,0.0015735829923656575,0.9802016581587875
1342,445,278,31424032.22,0.00130950781054191,0.9815111659693294
2105,13,10,28735001.36,0.001197450042483835,0.9827086160118133
2206,18,17,24420525.85,0.0010176564584147316,0.983726272470228
2205,18,18,22873178.0,0.0009531751060213043,0.9846794475762494
2101,47,45,21528994.83,0.0008971600679895623,0.9855766076442389
0021,117,56,21005984.32,0.0008753650818131987,0.9864519727260521
1407,264,150,20444128.2,0.0008519513145286648,0.9873039240405808
1400,154,92,16447881.97,0.0006854190371176516,0.9879893430776984
2002,12,12,15773374.57,0.0006573108458332067,0.9886466539235316
1403,415,273,14934514.7,0.0006223537294445584,0.9892690076529761
1101,894,580,14358109.24,0.0005983336594985825,0.9898673413124747
2215,10,7,14317800.0,0.0005966538857430231,0.9904639951982177
2207,17,17,13788850.0,0.0005746113880922826,0.9910386065863099
1334,290,169,13123851.3,0.0005468994450305651,0.9915855060313405
1600,15,15,12809966.84,0.0005338191964774808,0.992119325227818
1338,181,62,12263493.35,0.0005110464568621732,0.9926303716846802
0072,46,20,12221388.52,0.0005092918569635821,0.9931396635416437
1401,81,61,10124818.0,0.0004219232006412231,0.993561586742285
3051,42,12,8400284.46,0.0003500581349373321,0.9939116448772224
1408,169,163,7620193.28,0.00031755003775893454,0.9942291949149813
2210,9,3,6754837.5,0.0002814887791376949,0.994510683694119
3052,21,17,6512531.72,0.00027139136995646634,0.9947820750640755
1217,72,57,6268742.03,0.0002612321230161133,0.9950433071870916
1336,102,81,6221277.23,0.00025925416150275127,0.9953025613485943
2701,146,95,5195689.51,0.00021651568922989313,0.9955190770378242
3057,6,4,5161828.4,0.00021510462308446074,0.9957341816609087
FUEL2,6,6,5058042.0,0.0002107796179267354,0.9959449612788354
