plant,lines,purchase_orders,spend,spend_share
9120,12575,7780,2978147886.31,0.1241059037480781
9401,8526,4314,1628277070.41,0.0678538491336932
1128,46,6,976894230.6,0.040709308598208586
1120,35,5,677326207.65,0.02822565713377462
1113,36,6,645988243.55,0.026919735969102646
1223,27,12,587898692.15,0.02449901794231927
9230,125,119,578739743.95,0.024117344638260752
1129,34,6,571242738.6,0.023804928109638076
1183,45,7,527639658.99,0.021987892889166433
1339,36,6,521081982.85,0.021714620252981036
9402,134,125,513151897.05,0.02138415631949645
1125,41,6,512259602.25,0.021346972453284582
1332,36,6,497118612.4,0.02071601445498888
PS19,1713,700,491434758.65,0.020479155899489253
1182,41,6,472030459.1,0.019670536507779002
PS06,1784,1172,463402573.59,0.019310993741761356
1336,35,10,463222272.95,0.019303480221705343
PS29,2351,1098,445900436.88,0.01858164161525958
PS03,970,790,427302121.88,0.01780660935380721
1112,21,3,421974078.0,0.017584578169937387
PS37,2080,1220,417990087.12,0.01741855659963212
PS21,1224,468,415658182.6,0.01732138106337378
1119,38,7,410411618.85,0.017102745333845776
PS27,2307,1236,389749615.95,0.016241714706408696
9150,9483,6320,387037776.12,0.016128706438931696
1141,20,5,358029256.6,0.014919858299464718
1222,22,7,351320319.5,0.014640282289887788
1118,28,10,349875583.05,0.014580076977844941
1331,33,18,345597302.95,0.014401791735282393
9500,1650,822,334476960.16,0.013938382850087189
PS36,1193,724,332813473.5,0.013869061740728859
1117,28,6,324008380.1,0.013502134336278438
PS18,1284,465,321920082.36,0.013415110424702682
1116,22,7,291046749.2,0.01212855144247406
1130,21,6,282883507.65,0.011788371401471504
PS33,1621,676,275582232.24,0.011484111365414535
1132,29,7,258194239.55,0.010759515868637113
1221,21,9,252593226.05,0.01052610944663973
1115,19,9,247253938.3,0.010303609706237041
1110,2356,1580,240152966.29,0.010007696748777169
PS08,760,397,214924753.31,0.008956382209890638
PS22,1808,1007,200427650.5,0.008352256385839276
PS09,807,341,190388085.33,0.00793388585615938
9110,2333,1336,168339110.96,0.007015057109109635
PS23,1253,578,168330664.15,0.0070147051121541935
PS24,391,229,165248488.8,0.006886264157599802
9250,87,86,163830547.48,0.006827175456938136
PS10,861,336,148947968.35,0.0062069859957225495
1111,16,6,130229517.10000001,0.005426947395280873
PS02,216,181,114862162.76,0.004786556296051179
9012,2,2,107462131.75,0.004478180899220983
PP29,171,37,96413499.0,0.004017760327454712
9423,466,263,75694211.77,0.003154342537318986
9420,1132,782,75349405.65,0.003139973715899077
9406,658,170,69392355.19,0.002891730458937374
8001,46,46,68533700.0,0.002855948428483889
9240,11,11,56801549.0,0.0023670441637034132
1999,578,336,52773868.42,0.002199201948517511
9235,229,189,52348283.08,0.0021814668812008653
PS05,218,103,46454882.73,0.001935876062844219
9108,913,544,45590596.33,0.0018998593676148646
7203,87,83,39508373.93,0.0016463999235024134
1950,2559,1227,36621658.79,0.0015261042212776153
PS01,111,84,34808340.0,0.0014505392809834124
4510,748,173,33434525.83,0.0013932894546959012
9130,950,950,32837433.17,0.0013684073041044951
9260,14,11,31935001.36,0.0013308010066248118
HA01,26,4,31632445.619999997,0.0013181928504887534
4511,137,89,31493022.6,0.0013123827898198638
7000,114,109,28593717.05,0.0011915624178099311
4513,89,61,28258338.18,0.0011775864504139902
9106,214,79,27326280.55,0.001138745580540411
4512,92,58,25197125.58,0.0010500190592732071
9160,571,571,24356466.06,0.0010149869475524914
9412,30,26,23959381.43,0.0009984395668474718
1333,14,5,23558334.05,0.0009817270497258427
PP37,43,16,19916689.45,0.0008299717939543488
9421,193,153,18678024.36,0.000778353923954577
9255,110,86,15804672.62,0.0006586151036904668
PP36,48,21,13238648.52,0.0005516832950204725
7102,309,218,11981097.38,0.0004992784022156025
7070,308,161,11388355.91,0.00047457757518096515
9332,117,69,10049924.72,0.0004188022346738231
9107,41,26,7951437.22,0.00033135369362295193
9404,285,285,6466050.0,0.00026945437552617545
1960,13,7,3772287.6,0.00015719943389907827
9712,1883,673,3464162.38,0.00014435918541059374
7101,91,91,3249679.1,0.00013542120035430654
9424,20,10,3075245.3,0.0001281521642890646
9520,6,3,2153646.4,8.974713245585726e-05
7071,100,37,1863660.21,7.766277682333588e-05
9105,186,30,1455270.45,6.0644286747929e-05
9400,3,3,1158296.8,4.8268748450439964e-05
1961,35,20,882934.89,3.679381839225221e-05
9131,23,6,881748.9,3.674439560788923e-05
7202,112,108,869608.75,3.623848913685295e-05
HT06,2,1,716250.0,2.9847696270617016e-05
HT09,6,4,707070.0,2.946514569223759e-05
9413,97,97,655410.9,2.7312398569845367e-05
9410,11,5,576112.96,2.4007880834409954e-05
9161,21,6,495410.0,2.0644812857837874e-05
9711,341,95,484265.75,2.018040770717285e-05
PS20,4,4,480445.5,2.0021209575685484e-05
HT19,4,4,234000.0,9.75128925280891e-06
HT20,2,2,188160.0,7.841036691489421e-06
1512,4,4,109800.0,4.575604957087258e-06
9710,67,61,71061.16,2.9612731871800616e-06
9001,4,1,64580.0,2.691189145070083e-06
1108,2,2,62954.0,2.6234301864159493e-06
1334,1,1,49402.0,2.0586888532789135e-06
1530,1,1,49075.0,2.0450620516307577e-06
9714,48,16,32932.54,1.3723706126910238e-06
1754,1,1,22614.5,9.423954308019107e-07
9015,1,1,16340.0,6.809233606448615e-07
1704,1,1,14997.13,6.249630452648636e-07
9330,3,1,1910.0,7.959385672164537e-08
