material_group,proposed_internal_category,lines,spend,unspsc_code,unspsc_title,mapping_status
1500,Animal feed and nutrition,20724,10901546512.23,,,Requires procurement review
1500,Unclassified,769,4877552528.53,,,Requires procurement review
2003,Unclassified,7772,2967760654.36,,,Requires procurement review
2211,Unclassified,5188,1896214474.06,,,Requires procurement review
2007,Unclassified,148,754316190.33,,,Requires procurement review
2353,Unclassified,6526,396208137.27,,,Requires procurement review
2209,Animal feed and nutrition,3,243225000.0,,,Requires procurement review
2006,Unclassified,2537,133896883.42,,,Requires procurement review
1405,Unclassified,272,120042052.13,,,Requires procurement review
2204,Unclassified,120,106640430.83,,,Requires procurement review
1330,Packaging materials,13601,97337231.95,,,Requires procurement review
2214,Unclassified,37,92618388.0,,,Requires procurement review
SERVICE,Unclassified,647,73391938.52,,,Requires procurement review
2314,Unclassified,105,70058053.06,,,Requires procurement review
1330,Unclassified,652,67034189.81,,,Requires procurement review
ASSETS,Unclassified,342,66586038.78,,,Requires procurement review
FUEL1,Unclassified,40,63475658.0,,,Requires procurement review
2201,Unclassified,16,60988410.2,,,Requires procurement review
1411,Unclassified,1526,59894628.37,,,Requires procurement review
2211,Maintenance and spares,69,57901453.92,,,Requires procurement review
0088,Unclassified,10,55350132.690000005,,,Requires procurement review
1702,Unclassified,160,50544449.78,,,Requires procurement review
SERVICE,Construction and facilities,80,43783268.33,,,Requires procurement review
1205,Unclassified,473,42127607.53,,,Requires procurement review
2211,Animal feed and nutrition,172,41831242.8,,,Requires procurement review
0300,Unclassified,446,39020002.62,,,Requires procurement review
1310,Unclassified,44,36876444.85,,,Requires procurement review
ASSETS,Animal feed and nutrition,13,33310161.1,,,Requires procurement review
2105,Unclassified,13,28735001.36,,,Requires procurement review
2206,Unclassified,18,24420525.85,,,Requires procurement review
1342,Unclassified,280,23860793.91,,,Requires procurement review
0021,Animal feed and nutrition,117,21005984.32,,,Requires procurement review
1407,Unclassified,264,20444128.2,,,Requires procurement review
2205,Unclassified,14,20013178.0,,,Requires procurement review
2002,Unclassified,12,15773374.57,,,Requires procurement review
2101,Unclassified,33,15004216.83,,,Requires procurement review
2215,Unclassified,10,14317800.0,,,Requires procurement review
1403,Unclassified,407,13808812.9,,,Requires procurement review
1101,Unclassified,814,13502429.69,,,Requires procurement review
1400,Unclassified,117,13319628.87,,,Requires procurement review
1330,Animal feed and nutrition,134,12895907.67,,,Requires procurement review
1600,Unclassified,13,12779210.84,,,Requires procurement review
0072,Unclassified,46,12221388.52,,,Requires procurement review
2207,Animal feed and nutrition,14,10234750.0,,,Requires procurement review
1401,Unclassified,81,10124818.0,,,Requires procurement review
SERVICE,Services and logistics,661,8619476.14,,,Requires procurement review
1338,Electrical and automation,42,8441712.75,,,Requires procurement review
3051,Unclassified,42,8400284.46,,,Requires procurement review
SERVICE,Animal feed and nutrition,5,8174278.999999999,,,Requires procurement review
1334,Unclassified,186,8078493.3,,,Requires procurement review
1330,Chemicals and laboratory,18,7924100.0,,,Requires procurement review
1408,Unclassified,169,7620193.28,,,Requires procurement review
2006,Animal feed and nutrition,38,7259396.43,,,Requires procurement review
1342,Construction and facilities,156,6876499.83,,,Requires procurement review
2210,Animal feed and nutrition,9,6754837.5,,,Requires procurement review
2101,Chemicals and laboratory,14,6524778.0,,,Requires procurement review
3052,Unclassified,21,6512531.72,,,Requires procurement review
ASSETS,Electrical and automation,18,6416197.0,,,Requires procurement review
1217,Unclassified,72,6268742.03,,,Requires procurement review
2204,Animal feed and nutrition,6,5942250.0,,,Requires procurement review
3057,Unclassified,6,5161828.4,,,Requires procurement review
FUEL2,Unclassified,6,5058042.0,,,Requires procurement review
1334,Electrical and automation,103,5042264.4,,,Requires procurement review
1610,Unclassified,16,4708272.5,,,Requires procurement review
2701,Unclassified,116,4704197.92,,,Requires procurement review
1409,Unclassified,90,4405675.0,,,Requires procurement review
1200,Maintenance and spares,173,4147722.8,,,Requires procurement review
0022,Unclassified,10,4137653.0,,,Requires procurement review
1207,Unclassified,263,4126875.12,,,Requires procurement review
1336,Unclassified,89,4109647.75,,,Requires procurement review
1203,Unclassified,279,4071826.5,,,Requires procurement review
2202,Unclassified,16,4037082.5,,,Requires procurement review
